"LIST OF MATERIAL FOR APPROVAL
DANH M?C V?T T? ?? NGH? PHÊ DUY?T",,,,,,,,,,,,,,,,,,,
Project / D? án: D? án ??u t? xây d?ng c?ng hàng không qu?c t? Gia Bình - giai ?o?n 1.1,,,,,,Date / Ngày:,,,,,,,,,,,,,11/6/2026
Package / Gói th?u: Gói th?u C? ?i?n / MEPF,,,,,,Revision:,,,,,,,,,,,,,1
"H?ng m?c / Items: H? th?ng Public Access / CCTV System  –  Nhà s?n xu?t ?? xu?t / Proposed Manufacturer: Honeywell, Hanwa, AXIS",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
STT,Mô t? theo BOQ / Description as per BOQ,?? trình / Submittal,,Ch? d?n k? thu?t / Technical Specification,,Trình / Submitted,,,,Trình/ Submitted,,,,Trình/ Submitted,,,,"B?o hành
(Th?i gian giao hàng) / Warranty
(Leadtime)",Ghi chú / Note
,,Danh m?c / Catalogue,M?u / Sample,Ch? d?n k? thu?t / Technical specifications,Danh sách nhãn hi?u / Brand name list,Nhãn hi?u 1 / Brand name #1,,,,Nhãn hi?u 2  / Brand name #2,,,,Nhãn hi?u 3  / Brand name #3,,,,,
,,,,,,"Nhãn hi?u, xu?t x? / Brand, Origin",Mã hi?u / Model code,Thông s? k? thu?t / Technical data,?áp ?ng / Comply,"Nhãn hi?u, xu?t x? / Brand, Origin",Mã hi?u / Model code,Thông s? k? thu?t / Technical data,?áp ?ng / Comply,"Nhãn hi?u, xu?t x? / Brand, Origin",Mã hi?u / Model code,Thông s? k? thu?t / Technical data,?áp ?ng / Comply,,
I,Server l?u tr? camera IP / IP Camera Storage Server,,,,,,,,,,,,,,,,,,
6,Chu?n nén / Video compression,x,,"Chu?n nén H.264, H.265 / Video compression: H.264, H.265","Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,"H.264, H.265 / H.264, H.265",?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB7,"H.265, H.264, MJPEG / H.265, H.264, MJPEG",?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,"H.264, H.265 (Thông qua ph?n m?m Axis Camera Station) / H.264, H.265 (Via Axis Camera Station)",?áp ?ng toàn b?/ 'Full comply,,
7,??u ra hình ?nh / Video output,x,,"??u ra hình ?nh 1 HDMI, 1 VGA / Video output: 1 HDMI, 1 VGA","Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,Lên ??n 400 Mbps / Up to 400 Mbps,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB8,"HDMI 1: 3840 x 2160 (30Hz), HDMI 2: 1920x1080 (60Hz) / HDMI 1: 3840 x 2160 (30Hz), HDMI 2: 1920x1080 (60Hz)",?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,1 C?ng VGA (Không có HDMI tích h?p s?n) / 1x VGA (No built-in HDMI),?áp ?ng toàn b?/ 'Full comply,,
8,Tài kho?n truy c?p / User accounts,x,,Tài kho?n truy c?p 10 users / User accounts: 10 users,"Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,S? l??ng ng??i dùng t?i ?a: 16 / Maximum Number Of Users: 16,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB9,"S? ng??i dùng t? xa t?i ?a: Tr?c ti?p Unicast(10), Multicast(20) / Max Remote Users: Live Unicast(10), Multicast(20)",?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,?a ng??i dùng (Thông qua Windows Server/ACS) / Multi-user (via Windows Server/ACS),?áp ?ng toàn b?/ 'Full comply,,
9,Phân quy?n tài kho?n / Account authorization,x,,"Phân quy?n tài kho?n Menu, PTZ, Relay, Playback, Power off, Copy, Network MIC, Camera Setup / Account authorization: Menu, PTZ, Relay, Playback, Power off, Copy, Network MIC, Camera Setup","Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,"Menu, PTZ, R?-le, Phát l?i, T?t ngu?n, Sao chép, MIC M?ng, Cài ??t Camera / Menu, PTZ, Relay, Playback, Power off, Copy, Network MIC, Camera Setup",?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB10,"Tr?c ti?p, Tìm ki?m, Xu?t d? li?u, Menu, Ghi hình, D?ng ghi hình, ?i?u khi?n PTZ, T?t ngu?n, Kích ho?t th? công / Live, Search, Export, Menu, Record, Stop recording, PTZ control, Shutdown, Manual trigger",?áp ?ng 1 ph?n/ 'partially comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,Có. Phân quy?n ??y ?? c?p ?? qu?n tr? viên và ng??i dùng / Yes. Full access control for administrator and user levels,?áp ?ng toàn b?/ 'Full comply,,
10,Kênh hình ?nh ??u vào / IP video input,x,,Kênh hình ?nh ??u vào 64CH IP video / IP video input: 64CH IP video,"Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,64 Kênh / 64 Channels,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB11,T?i ?a 64 Kênh / Max. 64CH,?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,"Tích h?p s?n 64 gi?y phép lõi (Core Licenses) cho AXIS Camera Station, có th? m? r?ng lên 96 kênh / Includes 64 Core Licenses for AXIS Camera Station, scalable up to 96 channels",?áp ?ng toàn b?/ 'Full comply,,
11,C?ng k?t n?i / Connection ports,x,,"C?ng k?t n?i ? 2 × 10 GbE SFP+ ports, 2 Gigabit Ethernet RJ-45 port (10/100/1000Mbps) / Connection ports: ? 2 × 10 GbE SFP+ ports, 2 Gigabit Ethernet RJ-45 port (10/100/1000Mbps)","Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,2 C?ng m?ng Ethernet 10/100/1000 Mbps (RJ-45) / 10/100/1000 Mbps Ethernet (RJ-45) x 2,?áp ?ng m?t ph?n/Partially compliant,"Hanwha, Korea",XRN-6420RB12,"3 C?ng m?ng RJ-45 (LAN/WAN, 1Gbps) / RJ-45 3EA (LAN/WAN, 1Gbps)",?áp ?ng 1 ph?n/ 'partially comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,2 C?ng m?ng RJ45 1GbE / 2x 1GbE RJ45,?áp ?ng toàn b?/ 'Full comply,,
12,C?nh báo / Alarm,x,,"C?nh báo L?i HDD, ??y ? c?ng HDD, sai m?t kh?u, l?i ghi hình, l?i WRS/DDNS / Alarm: HDD error, HDD full, incorrect password, recording error, WRS/DDNS error","Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,?áp ?ng / Supported,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB13,"??i m?t kh?u, Nâng c?p, Tr?ng thái ? c?ng, L?i qu?t, B?t/T?t ngu?n, B?t ??u ghi hình th? công, K?t thúc ghi hình th? công, L?i ghi hình, Khóa tài kho?n / Change password, Upgrade, HDD state, Fan failure, Power On/Off, Start manual recording, End manual recording, Recording error, Account locked",?áp ?ng 1 ph?n/ 'partially comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,"Giám sát tr?ng thái h? th?ng, c?nh báo l?i ? c?ng/m?ng qua ph?n m?m ACS / System status monitoring, HDD/network failure alerts via ACS",?áp ?ng toàn b?/ 'Full comply,,
13,Ch? ?? ghi hình / Recording mode,x,,"Ch? ?? ghi hình Th? công, s? ki?n, theo l?ch, kh?n c?p / Recording mode: Manual, event, schedule, emergency","Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,?áp ?ng / Supported,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB14,"Ch? ?? ghi hình: Bình th??ng, Lu?ng kép, L?ch trình (Liên t?c/S? ki?n), S? ki?n (Tr??c/Sau), D?u trang / Mode Record: Normal, Dual Stream, Schedule (Continuous/Event), Event (Pre/Post), Bookmark",?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,"Ghi hình: Liên t?c, th? công, s? ki?n, l?ch trình / Continuous, manual, event, schedule",?áp ?ng toàn b?/ 'Full comply,,
14,Ch? ?? tìm ki?m / Search mode,x,,"Ch? ?? tìm ki?m Th?i gian, s? ki?n, theo l?ch, Text, Chuy?n ??ng / Search mode: Time, event, schedule, Text, Motion","Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,?áp ?ng / Supported,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB15,Ch? ?? tìm ki?m & Phát l?i: Th?i gian/S? ki?n/V?n b?n/ARB/D?u trang/Tìm ki?m thông minh / Mode Search & Play: Time/Event/Text/ARB/Bookmark/Smart search,?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,"Tìm ki?m: Thông minh, dòng th?i gian, s? ki?n, v?n b?n / Smart search, timeline, event, text",?áp ?ng toàn b?/ 'Full comply,,
15,C?ng USB / USB port,x,,C?ng USB Có / USB port: Yes,"Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,Có / Yes,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB16,4 C?ng USB (2 x USB 2.0 m?t tr??c + 2 x USB 3.0 m?t sau) / USB: 4EA (Front 2 x USB2.0 + Rear 2 x USB 3.0),?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,Có (Tích h?p USB 3.0 / USB 2.0) / Yes (Integrated USB 3.0 / USB 2.0),?áp ?ng toàn b?/ 'Full comply,,
16,Ngu?n ??u vào / Power supply,x,,"Ngu?n ??u vào AC 100240V, 50/60Hz / Power supply: AC 100240V, 50/60Hz","Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,"AC 100240V, 50/60Hz / AC 100240V, 50/60Hz",?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB17,Ngu?n ??u vào 100 ~ 240 VAC ±10%; 50/60Hz / Power Input 100 ~ 240 VAC ±10%; 50/60Hz,?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,"100-240 V AC, 50/60 Hz (B? ngu?n kép có th? c?m nóng) / 100-240 V AC, 50/60 Hz (Dual hot-plug power supplies)",?áp ?ng toàn b?/ 'Full comply,,
17,Nhi?t ?? v?n hành / Operating temperature,x,,Nhi?t ?? v?n hành 10°C to 35°C (50°F to 95°F) / Operating temperature: 10°C to 35°C (50°F to 95°F),"Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,-10°C ~ 55°C (14°F ~ 131°F) / -10°C ~ 55°C (14°F ~ 131°F),?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB18,Nhi?t ?? ho?t ??ng 0°C ??n +40°C (32? ??n 104?) / Operating Temperature 0°C to +40°C (32? to 104?),?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,10 °C ??n 35 °C (50 °F ??n 95 °F) / 10 °C to 35 °C (50 °F to 95 °F),?áp ?ng toàn b?/ 'Full comply,,
II, Camera IP bán c?u c? ??nh ngày ?êm/ PoE / Fixed Day/Night IP Dome Camera/ PoE,,,,,,,,,,,,,,,,,,
1,Lo?i Camera / Camera type,x,,Lo?i Camera Camera IP bán c?u h?ng ngo?i / Camera type: IR IP Dome Camera,"Honeywell, Hanwa, AXIS","Honeywell, USA",HC35W45R2,Camera bán c?u / Dome Camera,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XND-8080RV,Camera IP bán c?u h?ng ngo?i / IR Dome IP Camera,?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",P1487-LE,Camera IP bán c?u h?ng ngo?i / IR Dome IP Camera,?áp ?ng toàn b?/ 'Full comply,,
2,Ngu?n / Power supply,x,,Ngu?n POE / Power supply: POE,"Honeywell, Hanwa, AXIS","Honeywell, USA",HC35W45R3,"DC12V, PoE (IEEE 802.3af) (Class 0) / DC12V, PoE (IEEE 802.3af) (Class 0)",?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XND-8080RV,"PoE (IEEE802.3af, Class 3) / PoE (IEEE802.3af, Class3)",?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",P1487-LE,Ngu?n qua m?ng (PoE) IEEE 802.3af/802.3at Type 1 Class 3 / Power over Ethernet (PoE) IEEE 802.3af/802.3at Type 1 Class 3,?áp ?ng toàn b?/ 'Full comply,,
3,?? phân gi?i / Resolution,x,,?? phân gi?i ?5MP / Resolution: ?5MP,"Honeywell, Hanwa, AXIS","Honeywell, USA",HC35W45R4,5MP / 5MP,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XND-8080RV,5MP / 5MP,?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",P1487-LE,Camera bán c?u trong nhà 5 MP tích h?p AI / Indoor 5 MP AI-powered dome,?áp ?ng toàn b?/ 'Full comply,,
4,C?m bi?n hình ?nh / Image sensor,x,,C?m bi?n hình ?nh CMOS. / Image sensor: CMOS.,"Honeywell, Hanwa, AXIS","Honeywell, USA",HC35W45R5,CMOS / CMOS,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XND-8080RV,"1/1.8"" CMOS / 1/1.8"" CMOS",?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",P1487-LE,C?m bi?n CMOS RGB quét liên t?c 1/2.8” / 1/2.8” progressive scan RGB CMOS,?áp ?ng toàn b?/ 'Full comply,,
5,"?ng kính, h?ng ngo?i / Lens, IR",x,,"?ng kính, h?ng ngo?i tiêu c? ?i?u ch?nh ?áp ?ng 3.9mm9.4mm, h? tr? h?ng ngo?i IR ?30m. / Lens, IR: Adjustable focal length 3.9mm9.4mm, IR support ?30m.","Honeywell, Hanwa, AXIS","Honeywell, USA",HC35W45R6,"?ng kính: 2.7-13.5 mm, DC-Iris, F1.6-F3.3, MFZ; T?m xa h?ng ngo?i: Lên ??n 50 m / Lens: 2.7-13.5 mm, DC-Iris, F1.6-F3.3, MFZ; IR Distance: up to 50 m",?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XND-8080RV,"Tiêu c? ?ng kính 3.99.4mm, LED h?ng ngo?i; T?m nhìn h?ng ngo?i: 30m (98.4ft) / Focal Length (mm) 3.99.4mm, IR LED; Light Viewable Length: 30m (98.4ft)",?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",P1487-LE,"?ng kính thay ??i tiêu c?, 3.0–8.5 mm, F1.38–2.58; Góc nhìn ngang: 104°–34°; T?m nhìn xa h?ng ngo?i: 40 m (130 ft) ho?c xa h?n tùy thu?c vào b?i c?nh / Lens: Varifocal, 3.0–8.5 mm, F1.38–2.58; Horizontal field of view: 104°–34°; Range of reach 40 m (130 ft) or more depending on the scene",?áp ?ng toàn b?/ 'Full comply,,
6,Chu?n nén / Video compression,x,,"Chu?n nén H.264, H.265, MJPEG. / Video compression: H.264, H.265, MJPEG.","Honeywell, Hanwa, AXIS","Honeywell, USA",HC35W45R7,"H.265 HEVC/H.264/MJPEG, Mã hóa thông minh / H.265 HEVC/H.264/MJPEG, Smart Codec",?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XND-8080RV,"H.265/H.264: Main/Baseline/High, MJPEG / H.265/H.264: Main/Baseline/High, MJPEG",?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",P1487-LE,"Công ngh? Axis Zipstream trên chu?n AV1, H.264 và H.265; Có th? ki?m soát t?c ?? khung hình và b?ng thông (VBR/ABR/MBR) / Axis Zipstream technology in AV1, H.264 and H.265; Controllable frame rate and bandwidth VBR/ABR/MBR H.264/H.265/AV1",?áp ?ng toàn b?/ 'Full comply,,
7,T?c ?? khung hình t?i ?a / Max frame rate,x,,T?c ?? khung hình t?i ?a 30fps@5M (2592×1944) with WDR 120 dB. / Max frame rate: 30fps@5M (2592×1944) with WDR 120 dB.,"Honeywell, Hanwa, AXIS","Honeywell, USA",HC35W45R8,T?c ?? khung hình: T?i ?a 30 fps / Frame Rate: MAX 30 fps,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XND-8080RV,"T?c ?? khung hình 30fps ? ?? phân gi?i 5MP (2560x1920), Ch?ng ng??c sáng WDR 120dB / 30fps@ 5MP (2560x1920), WDR 120dB",?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",P1487-LE,Lên ??n 25/30 fps (50/60 Hz) ? t?t c? các ?? phân gi?i / Up to 25/30 fps (50/60 Hz) in all resolutions,?áp ?ng toàn b?/ 'Full comply,,
8,Nhi?t ?? ho?t ??ng / Operating temperature,x,,Nhi?t ?? ho?t ??ng Phù h?p trong d?i: -10°C ~ 45°C(-14°F ~ +113°F) / Operating temperature: Suitable range: -10°C ~ 45°C(-14°F ~ +113°F),"Honeywell, Hanwa, AXIS","Honeywell, USA",HC35W45R9,Nhi?t ?? ho?t ??ng: -40°C ~ 60°C (-40°F ~ 140°F) / Working Temperature: -40°C ~ 60°C (-40°F ~ 140°F),?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XND-8080RV,Nhi?t ?? ho?t ??ng -10°C~+55°C (+14°F~+131°F) / Temperature -10°C~+55°C (+14°F~+131°F),?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",P1487-LE,Nhi?t ?? ho?t ??ng: 0 °C ??n 50 °C (32 °F ??n 122 °F) / Temperature: 0 °C to 50 °C (32 °F to 122 °F),?áp ?ng toàn b?/ 'Full comply,,
9,?? nh?y sáng t?i thi?u / Minimum illumination,x,,?? nh?y sáng t?i thi?u ?0.3 lux Ch? ?? màu. / Minimum illumination: ?0.3 lux Color mode.,"Honeywell, Hanwa, AXIS","Honeywell, USA",HC35W45R10,"0.005 Lux / F1.6 (Màu, 30 IRE), 0 Lux / F1.6 (B?t h?ng ngo?i) / 0.005 Lux / F1.6 (Color, 30 IRE), 0 Lux / F1.6 (IR ON)",?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XND-8080RV,"Màu (1/30 giây, 30IRE) 0.07 Lux; Tr?ng/?en (1/30 giây, 30IRE) 0.007 Lux / Color (1/30sec, 30IRE) 0.07 Lux; B/W (1/30sec, 30IRE) 0.007 Lux",?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",P1487-LE,"Màu: 0.1 lux t?i 50 IRE, F1.38; ?en/Tr?ng: 0.03 lux t?i 50 IRE, F1.38 / Color: 0.1 lux at 50 IRE, F1.38; B/W: 0.03 lux at 50 IRE, F1.38",?áp ?ng toàn b?/ 'Full comply,,
10,H? tr? các tính n?ng phân tích video / Video analytics support,x,,"H? tr? các tính n?ng phân tích video Intrusion detection, Line crossing, Loitering, Motion detection, Tampering detection / Video analytics support: Intrusion detection, Line crossing, Loitering, Motion detection, Tampering detection","Honeywell, Hanwa, AXIS","Honeywell, USA",HC35W45R11,"??m ng??i, L?ng v?ng nhi?u ng??i, Xâm nh?p, Thay ??i khung c?nh, Phát hi?n chuy?n ??ng thông minh (SMD), Phát hi?n chuy?n ??ng, Phát hi?n khuôn m?t, Phát hi?n v??t ranh gi?i / People Counter, Multi Loitering, Intrusion, Scene Change, Smart Motion Detection (SMD), Motion Detection, Face Detection, Line Crossing Detection",?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XND-8080RV,"Phát hi?n m?t tiêu c?, Phát hi?n chuy?n ??ng, Gi? m?o, Phát hi?n s??ng mù, Phát hi?n khuôn m?t, Phát hi?n âm thanh, Phân lo?i âm thanh, Khu v?c ?o (L?ng v?ng, Xâm nh?p, Vào/Ra, Xu?t hi?n/Bi?n m?t), Ranh gi?i ?o (V??t qua, H??ng), Theo dõi t? ??ng k? thu?t s? / Defocus detection, Motion detection, Tampering, Fog detection, Face detection, Audio detection, Sound classification, Virtual area (Loitering, Intrusion, Enter/Exit, Appear/Disappear), Virtual line (Crossing, Direction), Digital auto tracking",?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",P1487-LE,"Phân tích ??i t??ng AXIS - Phân lo?i: Con ng??i, ph??ng ti?n (ô tô, xe buýt, xe t?i, xe ??p, khác); Các k?ch b?n: V??t ranh gi?i, có m?t trong khu v?c, ??m v??t tuy?n, chi?m ch?, ?i bám ?uôi, giám sát ?? b?o h? (BETA), chuy?n ??ng (t?i ?a 10 k?ch b?n); Các tính n?ng khác: Hi?n th? qu? ??o, khung bao quanh mã hóa màu; ?a giác khu v?c bao g?m/lo?i tr?; C?u hình ph?i c?nh; S? ki?n báo ??ng ONVIF / AXIS Object Analytics - Object classes: humans, vehicles (cars, buses, trucks, bikes, other); Scenarios: line crossing, object in area, time in area, crossline counting, occupancy, tailgating, PPE monitoring (BETA), motion (Up to 10 scenarios); Other features: trajectories, color-coded bounding boxes; Polygon include/exclude areas; Perspective config; ONVIF Alarm event",?áp ?ng toàn b?/ 'Full comply,,
III,Camera IP bán c?u c? ??nh ngày ?êm/ PoE l?p trong thang máy / Fixed Day/Night IP Dome Camera/ PoE for Elevators,,,,,,,,,,,,,,,,,,
1,Lo?i Camera / Camera type,x,,Lo?i Camera Camera IP bán c?u h?ng ngo?i / Camera type: IR IP Dome Camera,"Honeywell, Hanwa, AXIS","Honeywell, USA",HC35W45R2,Camera bán c?u / Dome Camera,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XND-8080RV,Camera IP bán c?u h?ng ngo?i / IR Dome IP Camera,?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",HC35W45R2,Camera bán c?u / Dome Camera,?áp ?ng toàn b?/Full Comply,,
